adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
11192,0,0,0,0,3,556,0,0,136,0,24,0,0,0,0,111.2,150.0
9988,0,0,0,0,0,28,0,10,1834,2,136,0,1,0,2,388.2,2.0
11201,0,0,0,0,3,758,0,2,188,0,20,0,0,0,2,140.6,122.0
8658,0,0,0,0,11,1485,0,0,222,0,30,0,0,0,3,260.7,37.0
9054,0,0,0,0,4,364,0,1,177,0,21,0,0,0,2,101.1,161.0
9823,0,0,0,0,0,0,0,3,401,0,31,0,0,0,0,89.1,172.0
10271,0,0,0,0,0,0,0,8,1871,0,136,0,0,1,1,375.1,4.0
11679,0,0,0,0,0,3,0,13,1449,0,96,0,0,0,0,319.2,20.0
9884,0,0,0,0,0,0,0,6,1304,0,105,0,0,0,2,267.4,35.0
10695,15,1881,12,1,0,196,0,0,0,0,0,0,0,0,1,174.84,90.0
9902,0,0,0,0,0,0,0,11,1176,0,72,0,0,0,0,255.6,39.0
8670,0,0,0,0,3,417,1,0,80,0,13,0,0,0,0,82.7,178.0
7836,31,3821,8,4,1,344,0,0,0,0,0,0,0,0,4,317.24,22.0
11454,0,0,0,0,5,720,0,0,183,0,25,0,0,0,2,141.3,120.0
10261,0,0,0,0,0,0,0,10,1297,0,86,0,0,0,1,273.7,32.0
9122,0,0,0,0,4,898,0,3,389,1,44,0,0,0,1,214.7,62.0
10308,0,0,0,0,0,50,0,6,829,0,79,0,0,1,0,208.9,68.0
10302,0,0,0,0,6,699,0,1,322,0,44,0,0,0,2,184.1,85.0
11654,0,0,0,0,11,794,1,1,79,0,15,0,0,0,3,170.3,96.0
9448,0,0,0,0,3,895,1,2,292,0,32,0,0,0,2,178.7,89.0
10729,0,0,0,0,0,0,0,5,1124,0,69,0,0,0,0,211.4,65.0
10722,0,0,0,0,0,0,0,4,807,0,54,0,0,0,0,158.7,108.0
11671,0,0,0,0,0,0,0,3,1208,0,74,0,0,0,1,210.8,66.0
11674,0,0,0,0,0,18,0,9,1140,0,84,0,0,0,0,253.8,41.0
11232,0,0,0,0,0,0,0,11,1521,1,111,0,0,0,0,331.1,14.0
9925,0,0,0,0,0,0,0,2,605,0,48,0,0,0,0,120.5,141.0
11676,0,0,0,0,0,0,0,8,997,0,85,0,0,0,1,230.7,55.0
9918,0,0,0,0,0,29,0,6,1135,0,76,0,0,0,2,224.4,58.0
10708,0,0,0,0,8,872,0,2,397,0,47,0,0,0,1,231.9,53.0
10276,0,0,0,0,6,768,1,0,397,0,49,0,0,0,1,201.5,75.0
12151,0,0,0,0,0,641,0,0,192,0,33,0,0,0,4,108.3,152.0
12175,0,0,0,0,0,-3,0,6,1070,0,72,0,0,0,1,212.7,64.0
7877,0,0,0,0,6,967,0,1,267,0,34,0,0,0,3,193.4,80.0
10703,34,4022,8,0,1,554,0,0,0,0,0,0,0,0,3,368.28,6.0
11657,0,0,0,0,3,470,0,0,53,0,11,0,0,0,1,79.3,179.0
11222,0,0,0,0,0,0,0,4,725,0,67,0,0,0,1,161.5,105.0
11390,0,0,0,0,6,1066,0,0,232,0,41,0,0,0,2,202.8,72.0
9831,0,0,0,0,0,41,0,6,813,0,90,0,0,0,1,209.4,67.0
9662,0,0,0,0,0,23,0,7,692,0,61,0,0,0,1,172.5,95.0
10870,0,0,0,0,1,763,0,0,55,0,10,0,0,0,0,97.8,164.0
