byeWk,draftCnt,frmt,name,ovrlAdp,playerId,pos,rdAdp,rdCnt,team,tmCnt,year
8,333,standard,David Johnson,1.4,2297,RB,1.01,15,ARI,8,2014
9,415,standard,LeVeon Bell,2.4,1983,RB,1.02,15,PIT,8,2014
9,300,standard,Antonio Brown,4.5,1886,WR,1.05,15,PIT,8,2014
5,247,standard,Julio Jones,5.1,1796,WR,1.05,15,ATL,8,2014
6,244,standard,LeSean McCoy,5.2,1645,RB,1.05,15,BUF,8,2014
8,257,standard,Odell Beckham Jr,6.8,2113,WR,1.07,15,NYG,8,2014
5,296,standard,Devonta Freeman,6.9,2144,RB,1.07,15,ATL,8,2014
9,282,standard,Melvin Gordon,7.8,2282,RB,1.08,15,LAC,8,2014
11,300,standard,Mike Evans,8.5,2111,WR,2.01,15,TB,8,2014
6,276,standard,A.J. Green,10.7,1795,WR,2.03,15,CIN,8,2014
8,366,standard,Jordy Nelson,11.5,1350,WR,2.03,15,GB,8,2014
11,336,standard,Jay Ajayi,12.1,2284,RB,2.04,15,MIA,8,2014
8,302,standard,DeMarco Murray,12.5,1819,RB,2.05,15,TEN,8,2014
6,396,standard,Ezekiel Elliott,13.3,2343,RB,2.05,15,DAL,8,2014
9,277,standard,Jordan Howard,14.1,2384,RB,2.06,15,CHI,8,2014
5,351,standard,Michael Thomas,14.9,2357,WR,2.07,15,NO,8,2014
9,342,standard,Rob Gronkowski,17.8,1740,TE,3.02,15,NE,8,2014
8,250,standard,Todd Gurley,18.0,2280,RB,3.02,15,LAR,8,2014
6,292,standard,Dez Bryant,18.3,1727,WR,3.02,15,DAL,8,2014
8,389,standard,Aaron Rodgers,18.8,1004,QB,3.03,15,GB,8,2014
10,286,standard,Amari Cooper,21.0,2277,WR,3.05,15,OAK,8,2014
8,239,standard,Leonard Fournette,21.8,2433,RB,3.06,15,JAC,8,2014
9,314,standard,Brandin Cooks,21.9,2114,WR,3.06,15,NE,8,2014
10,250,standard,Marshawn Lynch,23.9,740,RB,3.08,15,OAK,8,2014
6,292,standard,Doug Baldwin,24.8,1927,WR,4.01,15,SEA,8,2014
9,346,standard,Tom Brady,25.6,119,QB,4.02,15,NE,8,2014
9,275,standard,Isaiah Crowell,25.8,2219,RB,4.02,15,CLE,8,2014
11,301,standard,Christian McCaffrey,26.4,2434,RB,4.02,15,CAR,8,2014
9,367,standard,Dalvin Cook,28.0,2432,RB,4.04,15,MIN,8,2014
11,224,standard,T.Y. Hilton,28.2,1935,WR,4.04,15,IND,8,2014
7,307,standard,Lamar Miller,30.4,1908,RB,4.06,15,HOU,8,2014
5,310,standard,Terrelle Pryor,31.4,1868,WR,4.07,15,WAS,8,2014
7,302,standard,DeAndre Hopkins,33.1,1975,WR,5.01,15,HOU,8,2014
11,256,standard,Carlos Hyde,34.3,2129,RB,5.02,15,SF,8,2014
9,290,standard,Keenan Allen,34.3,1992,WR,5.02,15,LAC,8,2014
5,246,standard,Demaryius Thomas,35.5,1735,WR,5.03,15,DEN,8,2014
10,280,standard,Travis Kelce,36.8,1989,TE,5.05,15,KC,8,2014
8,266,standard,Ty Montgomery,37.3,2317,RB,5.05,15,GB,8,2014
6,245,standard,Joe Mixon,38.1,2438,RB,5.06,15,CIN,8,2014
5,306,standard,Drew Brees,38.1,127,QB,5.06,15,NO,8,2014
10,313,standard,Alshon Jeffery,39.8,1918,WR,5.08,15,PHI,8,2014
10,261,standard,Tyreek Hill,39.9,2390,WR,5.08,15,KC,8,2014
8,305,standard,Davante Adams,42.5,2125,WR,6.02,15,GB,8,2014
9,303,standard,Martavis Bryant,43.8,2150,WR,6.04,15,PIT,8,2014
10,88,standard,Spencer Ware,45.2,2030,RB,6.05,15,KC,8,2014
11,211,standard,Greg Olsen,45.7,890,TE,6.06,15,CAR,8,2014
11,435,standard,Kelvin Benjamin,45.9,2116,WR,6.06,15,CAR,8,2014
5,282,standard,CJ Anderson,47.2,2071,RB,6.07,15,DEN,8,2014
11,443,standard,Doug Martin,47.7,1907,RB,6.08,15,TB,8,2014
10,354,standard,Michael Crabtree,48.4,1646,WR,6.08,15,OAK,8,2014
5,177,standard,Matt Ryan,49.3,1342,QB,7.01,15,ATL,8,2014
5,160,standard,Jordan Reed,49.9,1995,TE,7.02,15,WAS,8,2014
6,217,standard,Jimmy Graham,51.5,1747,TE,7.04,15,SEA,8,2014
8,296,standard,Allen Robinson,53.0,2130,WR,7.05,15,JAC,8,2014
7,309,standard,Ameer Abdullah,53.3,2293,RB,7.05,15,DET,8,2014
5,233,standard,Adrian Peterson,53.9,925,RB,7.06,15,NO,8,2014
10,546,standard,Kareem Hunt,54.0,2450,RB,7.06,15,KC,8,2014
9,219,standard,Mike Gillislee,57.0,2017,RB,8.01,15,NE,8,2014
5,204,standard,Mark Ingram,57.4,1800,RB,8.01,15,NO,8,2014
6,180,standard,Russell Wilson,59.0,1904,QB,8.03,15,SEA,8,2014
10,144,standard,Derek Carr,59.3,2118,QB,8.03,15,OAK,8,2014
7,327,standard,Golden Tate,60.0,1730,WR,8.04,15,DET,8,2014
8,223,standard,Brandon Marshall,60.7,755,WR,8.05,15,NYG,8,2014
8,341,standard,Larry Fitzgerald,61.4,374,WR,8.05,15,ARI,8,2014
11,249,standard,Bilal Powell,62.5,1867,RB,8.07,15,NYJ,8,2014
10,227,standard,LeGarrette Blount,64.2,1781,RB,8.08,15,PHI,8,2014
8,274,standard,Sammy Watkins,64.8,2109,WR,9.01,15,LAR,8,2014
6,145,standard,Tyler Eifert,65.8,1974,TE,9.02,15,CIN,8,2014
11,357,standard,DeVante Parker,66.3,2279,WR,9.02,15,MIA,8,2014
9,266,standard,Stefon Diggs,66.8,2316,WR,9.03,15,MIN,8,2014
11,211,standard,Jarvis Landry,67.7,2132,WR,9.04,15,MIA,8,2014
6,253,standard,Darren McFadden,68.7,1341,RB,9.05,15,DAL,8,2014
8,192,standard,Derrick Henry,68.9,2350,RB,9.05,15,TEN,8,2014
9,62,standard,Julian Edelman,69.1,1708,WR,9.05,15,NE,8,2014
5,207,standard,Jamison Crowder,70.6,2331,WR,9.07,15,WAS,8,2014
11,176,standard,Jameis Winston,71.1,2275,QB,9.07,15,TB,8,2014
5,162,standard,Willie Snead,72.5,2223,WR,10.01,15,NO,8,2014
8,238,standard,Martellus Bennett,74.1,1364,TE,10.02,15,GB,8,2014
5,269,standard,Rob Kelley,74.1,2429,RB,10.02,15,WAS,8,2014
8,236,standard,Marcus Mariota,74.4,2276,QB,10.02,15,TEN,8,2014
5,231,standard,Tevin Coleman,75.7,2289,RB,10.04,15,ATL,8,2014
8,169,standard,Paul Perkins,76.8,2383,RB,10.05,15,NYG,8,2014
5,119,standard,Emmanuel Sanders,76.9,1762,WR,10.05,15,DEN,8,2014
5,226,standard,Kirk Cousins,77.5,1902,QB,10.05,15,WAS,8,2014
11,113,standard,DeSean Jackson,79.8,1357,WR,10.08,15,TB,8,2014
11,222,standard,Cam Newton,81.4,1794,QB,11.01,15,CAR,8,2014
5,260,standard,Denver Defense,81.6,1309,DEF,11.02,15,DEN,8,2014
11,235,standard,Andrew Luck,82.2,1897,QB,11.02,15,IND,8,2014
8,319,standard,Delanie Walker,82.4,1201,TE,11.02,15,TEN,8,2014
11,190,standard,Frank Gore,82.8,437,RB,11.03,15,IND,8,2014
11,173,standard,Pierre Garcon,82.9,1707,WR,11.03,15,SF,8,2014
8,118,standard,Eric Decker,83.3,1764,WR,11.03,15,TEN,8,2014
6,6,standard,Cole Beasley,85.3,1970,WR,11.05,15,DAL,8,2014
10,164,standard,Danny Woodhead,87.9,1776,RB,11.08,15,BAL,8,2014
10,181,standard,Terrance West,88.8,2139,RB,12.01,15,BAL,8,2014
8,180,standard,Randall Cobb,89.4,1806,WR,12.01,15,GB,8,2014
9,239,standard,Ben Roethlisberger,90.0,1006,QB,12.02,15,PIT,8,2014
7,248,standard,Houston Defense,90.5,1312,DEF,12.02,15,HOU,8,2014
9,16,standard,Latavius Murray,92.1,2023,RB,12.04,15,MIN,8,2014
6,183,standard,Eddie Lacy,92.6,1987,RB,12.05,15,SEA,8,2014
9,317,standard,Kyle Rudolph,93.0,1799,TE,12.05,15,MIN,8,2014
10,129,standard,Jeremy Maclin,93.3,1649,WR,12.05,15,BAL,8,2014
10,276,standard,Kansas City Defense,93.3,1315,DEF,12.05,15,KC,8,2014
6,232,standard,Thomas Rawls,94.5,2337,RB,12.06,15,SEA,8,2014
6,11,standard,Jason Witten,94.7,1286,TE,12.07,15,DAL,8,2014
11,11,standard,Matt Forte,94.9,1354,RB,12.07,15,NYJ,8,2014
9,62,standard,Cameron Meredith,96.0,2428,WR,12.08,15,CHI,8,2014
6,224,standard,Seattle Defense,96.2,1327,DEF,12.08,15,SEA,8,2014
10,160,standard,Zach Ertz,96.2,1978,TE,12.08,15,PHI,8,2014
9,209,standard,Philip Rivers,96.5,995,QB,13.01,15,LAC,8,2014
9,136,standard,Chris Hogan,96.9,2076,WR,13.01,15,NE,8,2014
9,288,standard,Stephen Gostkowski,96.9,438,PK,13.01,15,NE,8,2014
8,5,standard,Evan Engram,97.2,2451,TE,13.01,15,NYG,8,2014
10,304,standard,Justin Tucker,97.3,1962,PK,13.01,15,BAL,8,2014
9,108,standard,Tyrell Williams,97.4,2483,WR,13.01,15,LAC,8,2014
