byeWk,draftCnt,frmt,name,ovrlAdp,playerId,pos,rdAdp,rdCnt,team,tmCnt,year
8,2508,dynasty,David Johnson,1.4,2297,RB,1.01,15,ARI,10,2008
9,2753,dynasty,LeVeon Bell,2.3,1983,RB,1.02,15,PIT,10,2008
9,2062,dynasty,Antonio Brown,4.4,1886,WR,1.04,15,PIT,10,2008
5,2034,dynasty,Julio Jones,4.8,1796,WR,1.05,15,ATL,10,2008
6,1849,dynasty,LeSean McCoy,5.4,1645,RB,1.05,15,BUF,10,2008
8,2289,dynasty,Odell Beckham Jr,6.9,2113,WR,1.07,15,NYG,10,2008
5,2268,dynasty,Devonta Freeman,7.3,2144,RB,1.07,15,ATL,10,2008
9,2466,dynasty,Melvin Gordon,7.8,2282,RB,1.08,15,LAC,10,2008
11,2608,dynasty,Mike Evans,8.1,2111,WR,1.08,15,TB,10,2008
6,2414,dynasty,A.J. Green,10.6,1795,WR,2.01,15,CIN,10,2008
8,2486,dynasty,Jordy Nelson,11.8,1350,WR,2.02,15,GB,10,2008
11,2597,dynasty,Jay Ajayi,12.2,2284,RB,2.02,15,MIA,10,2008
8,2378,dynasty,DeMarco Murray,12.8,1819,RB,2.03,15,TEN,10,2008
9,2277,dynasty,Jordan Howard,13.9,2384,RB,2.04,15,CHI,10,2008
6,2661,dynasty,Ezekiel Elliott,13.9,2343,RB,2.04,15,DAL,10,2008
5,2332,dynasty,Michael Thomas,15.3,2357,WR,2.05,15,NO,10,2008
8,2325,dynasty,Todd Gurley,16.7,2280,RB,2.07,15,LAR,10,2008
6,2269,dynasty,Dez Bryant,18.1,1727,WR,2.08,15,DAL,10,2008
9,2164,dynasty,Rob Gronkowski,18.6,1740,TE,2.09,15,NE,10,2008
8,1985,dynasty,Aaron Rodgers,19.8,1004,QB,2.10,15,GB,10,2008
10,2262,dynasty,Amari Cooper,20.8,2277,WR,3.01,15,OAK,10,2008
8,2094,dynasty,Leonard Fournette,21.3,2433,RB,3.01,15,JAC,10,2008
9,2294,dynasty,Brandin Cooks,22.6,2114,WR,3.03,15,NE,10,2008
10,1934,dynasty,Marshawn Lynch,24.3,740,RB,3.04,15,OAK,10,2008
6,2319,dynasty,Doug Baldwin,24.7,1927,WR,3.05,15,SEA,10,2008
9,2224,dynasty,Isaiah Crowell,25.8,2219,RB,3.06,15,CLE,10,2008
11,2620,dynasty,Christian McCaffrey,25.9,2434,RB,3.06,15,CAR,10,2008
9,2218,dynasty,Tom Brady,26.8,119,QB,3.07,15,NE,10,2008
9,2698,dynasty,Dalvin Cook,27.8,2432,RB,3.08,15,MIN,10,2008
11,1925,dynasty,T.Y. Hilton,28.1,1935,WR,3.08,15,IND,10,2008
7,2124,dynasty,Lamar Miller,30.3,1908,RB,3.10,15,HOU,10,2008
5,2223,dynasty,Terrelle Pryor,31.8,1868,WR,4.02,15,WAS,10,2008
7,2201,dynasty,DeAndre Hopkins,33.1,1975,WR,4.03,15,HOU,10,2008
11,2153,dynasty,Carlos Hyde,33.5,2129,RB,4.04,15,SF,10,2008
9,2351,dynasty,Keenan Allen,34.3,1992,WR,4.04,15,LAC,10,2008
5,1993,dynasty,Demaryius Thomas,36.1,1735,WR,4.06,15,DEN,10,2008
8,2030,dynasty,Ty Montgomery,36.7,2317,RB,4.07,15,GB,10,2008
6,1959,dynasty,Joe Mixon,36.7,2438,RB,4.07,15,CIN,10,2008
10,1883,dynasty,Travis Kelce,38.4,1989,TE,4.08,15,KC,10,2008
10,2168,dynasty,Alshon Jeffery,39.3,1918,WR,4.09,15,PHI,10,2008
5,1852,dynasty,Drew Brees,39.7,127,QB,4.10,15,NO,10,2008
10,1774,dynasty,Tyreek Hill,40.4,2390,WR,4.10,15,KC,10,2008
8,2087,dynasty,Davante Adams,42.7,2125,WR,5.03,15,GB,10,2008
9,2130,dynasty,Martavis Bryant,43.7,2150,WR,5.04,15,PIT,10,2008
11,2827,dynasty,Kelvin Benjamin,44.6,2116,WR,5.05,15,CAR,10,2008
5,2132,dynasty,CJ Anderson,45.4,2071,RB,5.05,15,DEN,10,2008
10,731,dynasty,Spencer Ware,45.5,2030,RB,5.06,15,KC,10,2008
11,2768,dynasty,Doug Martin,46.5,1907,RB,5.06,15,TB,10,2008
10,2271,dynasty,Michael Crabtree,47.2,1646,WR,5.07,15,OAK,10,2008
11,1522,dynasty,Greg Olsen,49.2,890,TE,5.09,15,CAR,10,2008
10,3865,dynasty,Kareem Hunt,50.3,2450,RB,5.10,15,KC,10,2008
8,1710,dynasty,Allen Robinson,50.9,2130,WR,6.01,15,JAC,10,2008
7,1983,dynasty,Ameer Abdullah,51.8,2293,RB,6.02,15,DET,10,2008
5,1540,dynasty,Jordan Reed,52.5,1995,TE,6.02,15,WAS,10,2008
5,1706,dynasty,Adrian Peterson,52.9,925,RB,6.03,15,NO,10,2008
5,1495,dynasty,Matt Ryan,53.0,1342,QB,6.03,15,ATL,10,2008
5,1869,dynasty,Mark Ingram,54.7,1800,RB,6.05,15,NO,10,2008
9,1561,dynasty,Mike Gillislee,55.5,2017,RB,6.05,15,NE,10,2008
6,1931,dynasty,Jimmy Graham,56.0,1747,TE,6.06,15,SEA,10,2008
7,1917,dynasty,Golden Tate,58.0,1730,WR,6.08,15,DET,10,2008
8,1774,dynasty,Brandon Marshall,59.5,755,WR,6.09,15,NYG,10,2008
8,2364,dynasty,Larry Fitzgerald,60.9,374,WR,7.01,15,ARI,10,2008
11,2175,dynasty,Bilal Powell,61.5,1867,RB,7.02,15,NYJ,10,2008
8,1681,dynasty,Sammy Watkins,63.3,2109,WR,7.03,15,LAR,10,2008
6,1528,dynasty,Russell Wilson,63.5,1904,QB,7.04,15,SEA,10,2008
10,1175,dynasty,Derek Carr,64.6,2118,QB,7.05,15,OAK,10,2008
10,1645,dynasty,LeGarrette Blount,64.7,1781,RB,7.05,15,PHI,10,2008
6,1147,dynasty,Tyler Eifert,65.8,1974,TE,7.06,15,CIN,10,2008
9,2409,dynasty,Stefon Diggs,66.2,2316,WR,7.06,15,MIN,10,2008
5,6,dynasty,Jake Butt,67.0,2498,TE,7.07,15,DEN,10,2008
8,1790,dynasty,Derrick Henry,67.1,2350,RB,7.07,15,TEN,10,2008
11,3100,dynasty,DeVante Parker,68.5,2279,WR,7.08,15,MIA,10,2008
6,2279,dynasty,Darren McFadden,69.3,1341,RB,7.09,15,DAL,10,2008
9,787,dynasty,Julian Edelman,69.4,1708,WR,7.09,15,NE,10,2008
11,1870,dynasty,Jarvis Landry,69.8,2132,WR,7.10,15,MIA,10,2008
5,2212,dynasty,Jamison Crowder,72.0,2331,WR,8.02,15,WAS,10,2008
5,2109,dynasty,Rob Kelley,72.0,2429,RB,8.02,15,WAS,10,2008
8,1078,dynasty,Martellus Bennett,72.4,1364,TE,8.02,15,GB,10,2008
5,1845,dynasty,Tevin Coleman,73.9,2289,RB,8.04,15,ATL,10,2008
8,1087,dynasty,Paul Perkins,74.6,2383,RB,8.05,15,NYG,10,2008
5,1722,dynasty,Willie Snead,75.6,2223,WR,8.06,15,NO,10,2008
11,1120,dynasty,Jameis Winston,76.1,2275,QB,8.06,15,TB,10,2008
11,1417,dynasty,Frank Gore,79.2,437,RB,8.09,15,IND,10,2008
5,1735,dynasty,Emmanuel Sanders,79.6,1762,WR,8.10,15,DEN,10,2008
8,1789,dynasty,Marcus Mariota,79.9,2276,QB,8.10,15,TEN,10,2008
8,1251,dynasty,Delanie Walker,81.4,1201,TE,9.01,15,TEN,10,2008
10,1176,dynasty,Danny Woodhead,83.7,1776,RB,9.04,15,BAL,10,2008
5,1562,dynasty,Kirk Cousins,83.8,1902,QB,9.04,15,WAS,10,2008
10,1229,dynasty,Terrance West,84.2,2139,RB,9.04,15,BAL,10,2008
11,1530,dynasty,DeSean Jackson,84.2,1357,WR,9.04,15,TB,10,2008
11,1640,dynasty,Pierre Garcon,86.4,1707,WR,9.06,15,SF,10,2008
8,5,dynasty,Jared Abbrederis,87.0,2162,WR,9.07,15,GB,10,2008
